,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
1761,Bronze Medal,3,2021-08-07 00:00:00.0,FIEDINA M,FIEDINA Marta,W,../../../en/results/artistic-swimming/athlete-profile-n1449828-fiedina-marta.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1762,Bronze Medal,3,2021-08-07 00:00:00.0,YAKHNO Y,YAKHNO Yelyzaveta,W,../../../en/results/artistic-swimming/athlete-profile-n1449829-yakhno-yelyzaveta.htm,UKR,SWA,Team,Ukraine,
1763,Bronze Medal,3,2021-08-07 00:00:00.0,ALEKSIIVA V,ALEKSIIVA Vladyslava,,../../../en/results/artistic-swimming/athlete-profile-n1449830-aleksiiva-vladyslava.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1764,Bronze Medal,3,2021-08-07 00:00:00.0,ALEKSIIVA M,ALEKSIIVA Maryna,W,../../../en/results/artistic-swimming/athlete-profile-n1449831-aleksiiva-maryna.htm,UKR,SWA,Team,Ukraine,
1765,Bronze Medal,3,2021-08-07 00:00:00.0,REZNIK K,REZNIK Kateryna,W,../../../en/results/artistic-swimming/athlete-profile-n1449832-reznik-kateryna.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1766,Bronze Medal,3,2021-08-07 00:00:00.0,SHYNKARENKO A,SHYNKARENKO Alina,W,../../../en/results/artistic-swimming/athlete-profile-n1449833-shynkarenko-alina.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1767,Bronze Medal,3,2021-08-07 00:00:00.0,,SYDORENKO Kseniya,,../../../en/results/artistic-swimming/athlete-profile-n1449838-sydorenko-kseniya.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1768,Bronze Medal,3,2021-08-07 00:00:00.0,SAVCHUK A,SAVCHUK Anastasiya,W,../../../en/results/artistic-swimming/athlete-profile-n1449827-savchuk-anastasiya.htm,UKR,SWA,Team,Ukraine,Artistic Swimming
1769,Gold Medal,1,2021-08-07 00:00:00.0,INGEBRIGTSEN J,INGEBRIGTSEN Jakob,,../../../en/results/athletics/athlete-profile-n1343559-ingebrigtsen-jakob.htm,NOR,ATH,Men's 1500m,Norway,Athletics
1770,Silver Medal,2,2021-08-07 00:00:00.0,CHERUIYOT T,CHERUIYOT Timothy,M,../../../en/results/athletics/athlete-profile-n1402379-cheruiyot-timothy.htm,KEN,ATH,Men's 1500m,Kenya,Athletics
1771,Bronze Medal,3,2021-08-07 00:00:00.0,KERR J,KERR Josh,,../../../en/results/athletics/athlete-profile-n1477758-kerr-josh.htm,GBR,ATH,Men's 1500m,Great Britain,Athletics
1772,Gold Medal,1,2021-08-07 00:00:00.0,ROSS R,ROSS Randolph,,../../../en/results/athletics/athlete-profile-n1878054-ross-randolph.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,Athletics
1773,Gold Medal,1,2021-08-07 00:00:00.0,,BENJAMIN Rai,,../../../en/results/athletics/athlete-profile-n1458826-benjamin-rai.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,Athletics
1774,Gold Medal,1,2021-08-07 00:00:00.0,STEWART T,STEWART Trevor,M,../../../en/results/athletics/athlete-profile-n1459077-stewart-trevor.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,Athletics
1775,Gold Medal,1,2021-08-07 00:00:00.0,NORWOOD V,NORWOOD Vernon,M,../../../en/results/athletics/athlete-profile-n1459111-norwood-vernon.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,Athletics
1776,Gold Medal,1,2021-08-07 00:00:00.0,DEADMON B,DEADMON Bryce,,../../../en/results/athletics/athlete-profile-n1453059-deadmon-bryce.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,
1777,Gold Medal,1,2021-08-07 00:00:00.0,CHERRY M,CHERRY Michael,,../../../en/results/athletics/athlete-profile-n1458682-cherry-michael.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,Athletics
1778,Gold Medal,1,2021-08-07 00:00:00.0,NORMAN M,NORMAN Michael,M,../../../en/results/athletics/athlete-profile-n1458689-norman-michael.htm,USA,ATH,Men's 4 x 400m Relay,United States of America,
1779,Silver Medal,2,2021-08-07 00:00:00.0,van DIEPEN T,van DIEPEN Tony,,../../../en/results/athletics/athlete-profile-n1476269-van-diepen-tony.htm,NED,ATH,Men's 4 x 400m Relay,Netherlands,Athletics
1780,Silver Medal,2,2021-08-07 00:00:00.0,AGARD T,AGARD Terrence,M,../../../en/results/athletics/athlete-profile-n1476195-agard-terrence.htm,NED,ATH,Men's 4 x 400m Relay,Netherlands,
1781,Silver Medal,2,2021-08-07 00:00:00.0,,ANGELA Ramsey,M,../../../en/results/athletics/athlete-profile-n1476197-angela-ramsey.htm,NED,ATH,Men's 4 x 400m Relay,Netherlands,Athletics
1782,Silver Medal,2,2021-08-07 00:00:00.0,BONEVACIA L,BONEVACIA Liemarvin,M,../../../en/results/athletics/athlete-profile-n1476202-bonevacia-liemarvin.htm,NED,ATH,Men's 4 x 400m Relay,Netherlands,
1783,Silver Medal,2,2021-08-07 00:00:00.0,,DOBBER Jochem,,../../../en/results/athletics/athlete-profile-n1476217-dobber-jochem.htm,NED,ATH,Men's 4 x 400m Relay,Netherlands,Athletics
1784,Bronze Medal,3,2021-08-07 00:00:00.0,MAKWALA I,MAKWALA Isaac,,../../../en/results/athletics/athlete-profile-n1352856-makwala-isaac.htm,BOT,ATH,Men's 4 x 400m Relay,Botswana,Athletics
1785,Bronze Medal,3,2021-08-07 00:00:00.0,NGOZI Z,NGOZI Zibane,M,../../../en/results/athletics/athlete-profile-n1352876-ngozi-zibane.htm,BOT,ATH,Men's 4 x 400m Relay,Botswana,Athletics
1786,Bronze Medal,3,2021-08-07 00:00:00.0,,THEBE Baboloki,M,../../../en/results/athletics/athlete-profile-n1350888-thebe-baboloki.htm,BOT,ATH,Men's 4 x 400m Relay,Botswana,Athletics
1787,Bronze Medal,3,2021-08-07 00:00:00.0,NDORI B,NDORI Bayapo,,../../../en/results/athletics/athlete-profile-n1742375-ndori-bayapo.htm,BOT,ATH,Men's 4 x 400m Relay,Botswana,Athletics
1788,Gold Medal,1,2021-08-07 00:00:00.0,CHOPRA N,CHOPRA Neeraj,,../../../en/results/athletics/athlete-profile-n1305544-chopra-neeraj.htm,IND,ATH,Men's Javelin Throw,India,Athletics
1789,Silver Medal,2,2021-08-07 00:00:00.0,VADLEJCH J,VADLEJCH Jakub,M,../../../en/results/athletics/athlete-profile-n1408053-vadlejch-jakub.htm,CZE,ATH,Men's Javelin Throw,Czech Republic,Athletics
1790,Bronze Medal,3,2021-08-07 00:00:00.0,VESELY V,VESELY Vitezslav,M,../../../en/results/athletics/athlete-profile-n1408055-vesely-vitezslav.htm,CZE,ATH,Men's Javelin Throw,Czech Republic,Athletics
1791,Gold Medal,1,2021-08-07 00:00:00.0,HASSAN S,HASSAN Sifan,W,../../../en/results/athletics/athlete-profile-n1476183-hassan-sifan.htm,NED,ATH,"Women's 10,000m",Netherlands,Athletics
1792,Silver Medal,2,2021-08-07 00:00:00.0,GEZAHEGNE K,GEZAHEGNE Kalkidan,W,../../../en/results/athletics/athlete-profile-n1337208-gezahegne-kalkidan.htm,BRN,ATH,"Women's 10,000m",Bahrain,Athletics
1793,Bronze Medal,3,2021-08-07 00:00:00.0,,GIDEY Letesenbet,W,../../../en/results/athletics/athlete-profile-n1352037-gidey-letesenbet.htm,ETH,ATH,"Women's 10,000m",Ethiopia,Athletics
1794,Gold Medal,1,2021-08-07 00:00:00.0,WHITNEY K,WHITNEY Kaylin,,../../../en/results/athletics/athlete-profile-n1458409-whitney-kaylin.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1795,Gold Medal,1,2021-08-07 00:00:00.0,ELLIS K,ELLIS Kendall,,../../../en/results/athletics/athlete-profile-n1458420-ellis-kendall.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1796,Gold Medal,1,2021-08-07 00:00:00.0,MUHAMMAD D,MUHAMMAD Dalilah,,../../../en/results/athletics/athlete-profile-n1453236-muhammad-dalilah.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1797,Gold Medal,1,2021-08-07 00:00:00.0,McLAUGHLIN S,McLAUGHLIN Sydney,,../../../en/results/athletics/athlete-profile-n1458998-mclaughlin-sydney.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1798,Gold Medal,1,2021-08-07 00:00:00.0,,IRBY Lynna,,../../../en/results/athletics/athlete-profile-n1470823-irby-lynna.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1799,Gold Medal,1,2021-08-07 00:00:00.0,,JONATHAS Wadeline,W,../../../en/results/athletics/athlete-profile-n1459123-jonathas-wadeline.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1800,Gold Medal,1,2021-08-07 00:00:00.0,MU A,MU Athing,W,../../../en/results/athletics/athlete-profile-n1363228-mu-athing.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1801,Gold Medal,1,2021-08-07 00:00:00.0,FELIX A,FELIX Allyson,,../../../en/results/athletics/athlete-profile-n1363172-felix-allyson.htm,USA,ATH,Women's 4 x 400m Relay,United States of America,Athletics
1802,Silver Medal,2,2021-08-07 00:00:00.0,HOLUB-KOWALIK M,HOLUB-KOWALIK Malgorzata,W,../../../en/results/athletics/athlete-profile-n1382451-holub-kowalik-malgorzata.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
1803,Silver Medal,2,2021-08-07 00:00:00.0,,KIELBASINSKA Anna,W,../../../en/results/athletics/athlete-profile-n1324396-kielbasinska-anna.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
1804,Silver Medal,2,2021-08-07 00:00:00.0,SWIETY-ERSETIC J,SWIETY-ERSETIC Justyna,,../../../en/results/athletics/athlete-profile-n1324419-swiety-ersetic-justyna.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
1805,Silver Medal,2,2021-08-07 00:00:00.0,BAUMGART-WITAN I,BAUMGART-WITAN Iga,,../../../en/results/athletics/athlete-profile-n1324477-baumgart-witan-iga.htm,POL,ATH,Women's 4 x 400m Relay,Poland,
1806,Silver Medal,2,2021-08-07 00:00:00.0,KACZMAREK N,KACZMAREK Natalia,,../../../en/results/athletics/athlete-profile-n1324446-kaczmarek-natalia.htm,POL,ATH,Women's 4 x 400m Relay,Poland,Athletics
1807,Bronze Medal,3,2021-08-07 00:00:00.0,BROMFIELD J,BROMFIELD Junelle,W,../../../en/results/athletics/athlete-profile-n1897510-bromfield-junelle.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1808,Bronze Medal,3,2021-08-07 00:00:00.0,JACKSON S,JACKSON Shericka,W,../../../en/results/athletics/athlete-profile-n1437545-jackson-shericka.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1809,Bronze Medal,3,2021-08-07 00:00:00.0,RUSSELL J,RUSSELL Janieve,,../../../en/results/athletics/athlete-profile-n1437848-russell-janieve.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1810,Bronze Medal,3,2021-08-07 00:00:00.0,WILLIAMS SA,WILLIAMS Stacey Ann,,../../../en/results/athletics/athlete-profile-n1444887-williams-stacey-ann.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1811,Bronze Medal,3,2021-08-07 00:00:00.0,McGREGOR R,McGREGOR Roneisha,,../../../en/results/athletics/athlete-profile-n1412278-mcgregor-roneisha.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1812,Bronze Medal,3,2021-08-07 00:00:00.0,McLEOD C,McLEOD Candice,,../../../en/results/athletics/athlete-profile-n1412279-mcleod-candice.htm,JAM,ATH,Women's 4 x 400m Relay,Jamaica,Athletics
1813,Gold Medal,1,2021-08-07 00:00:00.0,LASITSKENE M,LASITSKENE Mariya,W,../../../en/results/athletics/athlete-profile-n1431110-lasitskene-mariya.htm,ROC,ATH,Women's High Jump,ROC,Athletics
1814,Silver Medal,2,2021-08-07 00:00:00.0,McDERMOTT N,McDERMOTT Nicola,W,../../../en/results/athletics/athlete-profile-n1481542-mcdermott-nicola.htm,AUS,ATH,Women's High Jump,Australia,Athletics
1815,Bronze Medal,3,2021-08-07 00:00:00.0,,MAHUCHIKH Yaroslava,,../../../en/results/athletics/athlete-profile-n1444761-mahuchikh-yaroslava.htm,UKR,ATH,Women's High Jump,Ukraine,Athletics
1816,Gold Medal,1,2021-08-07 00:00:00.0,JEPCHIRCHIR P,JEPCHIRCHIR Peres,W,../../../en/results/athletics/athlete-profile-n1459329-jepchirchir-peres.htm,KEN,ATH,Women's Marathon,Kenya,
1817,Silver Medal,2,2021-08-07 00:00:00.0,KOSGEI B,KOSGEI Brigid,W,../../../en/results/athletics/athlete-profile-n1337375-kosgei-brigid.htm,KEN,ATH,Women's Marathon,Kenya,
1818,Bronze Medal,3,2021-08-07 00:00:00.0,SEIDEL M,SEIDEL Molly,W,../../../en/results/athletics/athlete-profile-n1460816-seidel-molly.htm,USA,ATH,Women's Marathon,United States of America,Athletics
1819,Gold Medal,1,2021-08-07 00:00:00.0,SAKAMOTO H,SAKAMOTO Hayato,M,../../../en/results/baseball-softball/athlete-profile-n1336363-sakamoto-hayato.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1820,Gold Medal,1,2021-08-07 00:00:00.0,,YAMASAKI Yasuaki,,../../../en/results/baseball-softball/athlete-profile-n1336369-yamasaki-yasuaki.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1821,Gold Medal,1,2021-08-07 00:00:00.0,,IWAZAKI Suguru,M,../../../en/results/baseball-softball/athlete-profile-n1336379-iwazaki-suguru.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1822,Gold Medal,1,2021-08-07 00:00:00.0,UMENO R,UMENO Ryutaro,M,../../../en/results/baseball-softball/athlete-profile-n1336380-umeno-ryutaro.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1823,Gold Medal,1,2021-08-07 00:00:00.0,MORISHITA M,MORISHITA Masato,M,../../../en/results/baseball-softball/athlete-profile-n1336385-morishita-masato.htm,JPN,BSB,Baseball,Japan,
1824,Gold Medal,1,2021-08-07 00:00:00.0,KIKUCHI R,KIKUCHI Ryosuke,,../../../en/results/baseball-softball/athlete-profile-n1336389-kikuchi-ryosuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1825,Gold Medal,1,2021-08-07 00:00:00.0,SUZUKI S,SUZUKI Seiya,M,../../../en/results/baseball-softball/athlete-profile-n1336392-suzuki-seiya.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1826,Gold Medal,1,2021-08-07 00:00:00.0,OHNO Y,OHNO Yudai,M,../../../en/results/baseball-softball/athlete-profile-n1336400-ohno-yudai.htm,JPN,BSB,Baseball,Japan,
1827,Gold Medal,1,2021-08-07 00:00:00.0,YAMADA T,YAMADA Tetsuto,M,../../../en/results/baseball-softball/athlete-profile-n1336407-yamada-tetsuto.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1828,Gold Medal,1,2021-08-07 00:00:00.0,MURAKAMI M,MURAKAMI Munetaka,M,../../../en/results/baseball-softball/athlete-profile-n1336408-murakami-munetaka.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1829,Gold Medal,1,2021-08-07 00:00:00.0,GENDA S,GENDA Sosuke,M,../../../en/results/baseball-softball/athlete-profile-n1336421-genda-sosuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1830,Gold Medal,1,2021-08-07 00:00:00.0,,TAIRA Kaima,M,../../../en/results/baseball-softball/athlete-profile-n1336422-taira-kaima.htm,JPN,BSB,Baseball,Japan,
1831,Gold Medal,1,2021-08-07 00:00:00.0,SENGA K,SENGA Koudai,,../../../en/results/baseball-softball/athlete-profile-n1336429-senga-koudai.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1832,Gold Medal,1,2021-08-07 00:00:00.0,KAI T,KAI Takuya,M,../../../en/results/baseball-softball/athlete-profile-n1336432-kai-takuya.htm,JPN,BSB,Baseball,Japan,
1833,Gold Medal,1,2021-08-07 00:00:00.0,YANAGITA Y,YANAGITA Yuki,M,../../../en/results/baseball-softball/athlete-profile-n1336437-yanagita-yuki.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1834,Gold Medal,1,2021-08-07 00:00:00.0,KONDOH K,KONDOH Kensuke,M,../../../en/results/baseball-softball/athlete-profile-n1336458-kondoh-kensuke.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1835,Gold Medal,1,2021-08-07 00:00:00.0,ASAMURA H,ASAMURA Hideto,,../../../en/results/baseball-softball/athlete-profile-n1336466-asamura-hideto.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1836,Gold Medal,1,2021-08-07 00:00:00.0,YAMAMOTO Y,YAMAMOTO Yoshinobu,,../../../en/results/baseball-softball/athlete-profile-n1336474-yamamoto-yoshinobu.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1837,Gold Medal,1,2021-08-07 00:00:00.0,YOSHIDA M,YOSHIDA Masataka,M,../../../en/results/baseball-softball/athlete-profile-n1336483-yoshida-masataka.htm,JPN,BSB,Baseball,Japan,
1838,Gold Medal,1,2021-08-07 00:00:00.0,AOYAGI K,AOYAGI Koyo,M,../../../en/results/baseball-softball/athlete-profile-n1446735-aoyagi-koyo.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1839,Gold Medal,1,2021-08-07 00:00:00.0,,KURIBAYASHI Ryoji,,../../../en/results/baseball-softball/athlete-profile-n1446742-kuribayashi-ryoji.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1840,Gold Medal,1,2021-08-07 00:00:00.0,KURIHARA R,KURIHARA Ryoya,M,../../../en/results/baseball-softball/athlete-profile-n1446763-kurihara-ryoya.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1841,Gold Medal,1,2021-08-07 00:00:00.0,ITOH H,ITOH Hiromi,,../../../en/results/baseball-softball/athlete-profile-n1446766-itoh-hiromi.htm,JPN,BSB,Baseball,Japan,Baseball/Softball
1842,Gold Medal,1,2021-08-07 00:00:00.0,TANAKA M,TANAKA Masahiro,M,../../../en/results/baseball-softball/athlete-profile-n1446772-tanaka-masahiro.htm,JPN,BSB,Baseball,Japan,
1843,Silver Medal,2,2021-08-07 00:00:00.0,CARTER A,CARTER Anthony,M,../../../en/results/baseball-softball/athlete-profile-n1460094-carter-anthony.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1844,Silver Medal,2,2021-08-07 00:00:00.0,DICKSON B,DICKSON Brandon,M,../../../en/results/baseball-softball/athlete-profile-n1460102-dickson-brandon.htm,USA,BSB,Baseball,United States of America,
1845,Silver Medal,2,2021-08-07 00:00:00.0,ROBERTSON D,ROBERTSON David,,../../../en/results/baseball-softball/athlete-profile-n1460123-robertson-david.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1846,Silver Medal,2,2021-08-07 00:00:00.0,ALVAREZ E,ALVAREZ Eddy,M,../../../en/results/baseball-softball/athlete-profile-n1460131-alvarez-eddy.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1847,Silver Medal,2,2021-08-07 00:00:00.0,JACKSON JR E,JACKSON JR Edwin,M,../../../en/results/baseball-softball/athlete-profile-n1460132-jackson-jr-edwin.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1848,Silver Medal,2,2021-08-07 00:00:00.0,MARTINEZ N,MARTINEZ Nick,M,../../../en/results/baseball-softball/athlete-profile-n1460183-martinez-nick.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1849,Silver Medal,2,2021-08-07 00:00:00.0,FRAZIER T,FRAZIER Todd,,../../../en/results/baseball-softball/athlete-profile-n1460209-frazier-todd.htm,USA,BSB,Baseball,United States of America,
1850,Silver Medal,2,2021-08-07 00:00:00.0,CASAS T,CASAS Triston,,../../../en/results/baseball-softball/athlete-profile-n1460213-casas-triston.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1851,Silver Medal,2,2021-08-07 00:00:00.0,FILIA E,FILIA Eric,M,../../../en/results/baseball-softball/athlete-profile-n1471415-filia-eric.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1852,Silver Medal,2,2021-08-07 00:00:00.0,FEDEROWICZ T,FEDEROWICZ Tim,,../../../en/results/baseball-softball/athlete-profile-n1471436-federowicz-tim.htm,USA,BSB,Baseball,United States of America,
1853,Silver Medal,2,2021-08-07 00:00:00.0,ALLEN N,ALLEN Nick,M,../../../en/results/baseball-softball/athlete-profile-n1888994-allen-nick.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1854,Silver Medal,2,2021-08-07 00:00:00.0,WESTBROOK J,WESTBROOK Jamie,,../../../en/results/baseball-softball/athlete-profile-n1888995-westbrook-jamie.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1855,Silver Medal,2,2021-08-07 00:00:00.0,KOLOZSVARY M,KOLOZSVARY Mark,,../../../en/results/baseball-softball/athlete-profile-n1888996-kolozsvary-mark.htm,USA,BSB,Baseball,United States of America,
1856,Silver Medal,2,2021-08-07 00:00:00.0,,AUSTIN Tyler,,../../../en/results/baseball-softball/athlete-profile-n1888997-austin-tyler.htm,USA,BSB,Baseball,United States of America,
1857,Silver Medal,2,2021-08-07 00:00:00.0,WOODS RICHARDSON S,WOODS RICHARDSON Simeon,M,../../../en/results/baseball-softball/athlete-profile-n1888998-woods-richardson-simeon.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1858,Silver Medal,2,2021-08-07 00:00:00.0,RYAN J,RYAN Joe,,../../../en/results/baseball-softball/athlete-profile-n1888999-ryan-joe.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1859,Silver Medal,2,2021-08-07 00:00:00.0,BAZ S,BAZ Shane,M,../../../en/results/baseball-softball/athlete-profile-n1889000-baz-shane.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1860,Silver Medal,2,2021-08-07 00:00:00.0,STARLING B,STARLING Bubba,M,../../../en/results/baseball-softball/athlete-profile-n1889001-starling-bubba.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1861,Silver Medal,2,2021-08-07 00:00:00.0,LOPEZ J,LOPEZ Jack,,../../../en/results/baseball-softball/athlete-profile-n1889003-lopez-jack.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1862,Silver Medal,2,2021-08-07 00:00:00.0,GOSE A,GOSE Anthony,,../../../en/results/baseball-softball/athlete-profile-n1889004-gose-anthony.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1863,Silver Medal,2,2021-08-07 00:00:00.0,KAZMIR S,KAZMIR Scott,,../../../en/results/baseball-softball/athlete-profile-n1889005-kazmir-scott.htm,USA,BSB,Baseball,United States of America,
1864,Silver Medal,2,2021-08-07 00:00:00.0,McGOUGH S,McGOUGH Scott,,../../../en/results/baseball-softball/athlete-profile-n1889006-mcgough-scott.htm,USA,BSB,Baseball,United States of America,Baseball/Softball
1865,Silver Medal,2,2021-08-07 00:00:00.0,KIVLEHAN P,KIVLEHAN Patrick,M,../../../en/results/baseball-softball/athlete-profile-n1889209-kivlehan-patrick.htm,USA,BSB,Baseball,United States of America,
1866,Silver Medal,2,2021-08-07 00:00:00.0,RYAN R,RYAN Ryder,M,../../../en/results/baseball-softball/athlete-profile-n1889210-ryan-ryder.htm,USA,BSB,Baseball,United States of America,
1867,Bronze Medal,3,2021-08-07 00:00:00.0,,GARCIA Junior,,../../../en/results/baseball-softball/athlete-profile-n1896475-garcia-junior.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1868,Bronze Medal,3,2021-08-07 00:00:00.0,CASTILLO L,CASTILLO Luis,,../../../en/results/baseball-softball/athlete-profile-n1896502-castillo-luis.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1869,Bronze Medal,3,2021-08-07 00:00:00.0,MIESES J,MIESES Johan,,../../../en/results/baseball-softball/athlete-profile-n1896503-mieses-johan.htm,DOM,BSB,Baseball,Dominican Republic,
1870,Bronze Medal,3,2021-08-07 00:00:00.0,RODRIGUEZ J,RODRIGUEZ Julio,,../../../en/results/baseball-softball/athlete-profile-n1896504-rodriguez-julio.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1871,Bronze Medal,3,2021-08-07 00:00:00.0,ROSSO R,ROSSO Ramon,M,../../../en/results/baseball-softball/athlete-profile-n1896507-rosso-ramon.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1872,Bronze Medal,3,2021-08-07 00:00:00.0,VALDES R,VALDES Raul,M,../../../en/results/baseball-softball/athlete-profile-n1896508-valdes-raul.htm,DOM,BSB,Baseball,Dominican Republic,
1873,Bronze Medal,3,2021-08-07 00:00:00.0,,BALDWIN Roldani,M,../../../en/results/baseball-softball/athlete-profile-n1896512-baldwin-roldani.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1874,Bronze Medal,3,2021-08-07 00:00:00.0,SANCHEZ A,SANCHEZ Angel,,../../../en/results/baseball-softball/athlete-profile-n1899275-sanchez-angel.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1875,Bronze Medal,3,2021-08-07 00:00:00.0,MERCEDES C,MERCEDES Cristopher,,../../../en/results/baseball-softball/athlete-profile-n1899278-mercedes-cristopher.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1876,Bronze Medal,3,2021-08-07 00:00:00.0,,ALVAREZ Dario,M,../../../en/results/baseball-softball/athlete-profile-n1443717-alvarez-dario.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1877,Bronze Medal,3,2021-08-07 00:00:00.0,,ARIAS Gabriel,M,../../../en/results/baseball-softball/athlete-profile-n1443720-arias-gabriel.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1878,Bronze Medal,3,2021-08-07 00:00:00.0,ASENCIO J,ASENCIO Jairo,M,../../../en/results/baseball-softball/athlete-profile-n1443724-asencio-jairo.htm,DOM,BSB,Baseball,Dominican Republic,
1879,Bronze Medal,3,2021-08-07 00:00:00.0,CABRERA M,CABRERA Melky,,../../../en/results/baseball-softball/athlete-profile-n1443737-cabrera-melky.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1880,Bronze Medal,3,2021-08-07 00:00:00.0,PEREZ Y,PEREZ Yefri,M,../../../en/results/baseball-softball/athlete-profile-n1443761-perez-yefri.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1881,Bronze Medal,3,2021-08-07 00:00:00.0,MARINEZ J,MARINEZ Jhan,M,../../../en/results/baseball-softball/athlete-profile-n1443879-marinez-jhan.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1882,Bronze Medal,3,2021-08-07 00:00:00.0,NUNEZ G,NUNEZ Gustavo,M,../../../en/results/baseball-softball/athlete-profile-n1443898-nunez-gustavo.htm,DOM,BSB,Baseball,Dominican Republic,
1883,Bronze Medal,3,2021-08-07 00:00:00.0,VALERIO C,VALERIO Charlie,M,../../../en/results/baseball-softball/athlete-profile-n1443962-valerio-charlie.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1884,Bronze Medal,3,2021-08-07 00:00:00.0,GUZMAN J,GUZMAN Jeison,,../../../en/results/baseball-softball/athlete-profile-n1444098-guzman-jeison.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
1885,Bronze Medal,3,2021-08-07 00:00:00.0,MEJIA E,MEJIA Erick,M,../../../en/results/baseball-softball/athlete-profile-n1444228-mejia-erick.htm,DOM,BSB,Baseball,Dominican Republic,Baseball/Softball
